HIP,RAhms,DEdms,Vmag,RAICRS,DEICRS,Plx,pmRA,pmDE,e_Plx,B-V,Notes,_RA.icrs,_DE.icrs,x,y,z,adjusted_brightness
301,00 03 44.37,-17 20 09.5,4.55,0.93488487,-17.33597002,14.31,28.57,-7.28,0.92,-0.047,,0.93495762,-17.33598771,218.21614622470085,3.5608718064951375,-65.32737045263485,4.550000190734863
330,00 04 13.66,+62 17 15.6,5.9,1.05693212,62.2876646,0.89,-0.99,-0.37,0.58,0.274,,1.05692695,62.2876637,1703.088143154253,31.419878686102987,3242.76067620117,5.900000095367432
343,00 04 19.76,-16 31 44.0,5.78,1.08233885,-16.52888969,11.29,53.77,-60.27,0.92,1.084,,1.08247517,-16.52903618,278.23858202037434,5.256630074713161,-77.02507236918221,5.78000020980835
355,00 04 30.12,-10 30 34.2,4.99,1.1255098,-10.50949443,2.03,-6.49,-11.88,0.93,1.619,,1.12549376,-10.5095233,1583.6255807265463,31.112237211636092,-264.7892018922986,4.989999771118165
377,00 04 41.25,-71 26 12.7,5.59,1.17188841,-71.43685835,5.7,30.0,-13.62,0.53,-0.1,,1.17211746,-71.43689145,190.2800767579111,3.892355870281404,-539.334857086837,5.590000152587891
379,00 04 41.84,+67 09 59.0,5.68,1.17432297,67.16638761,10.3,95.58,23.8,0.58,1.051,,1.17492163,67.16644546,122.79590586126854,2.5171753074318586,291.7021571075509,5.679999828338623
418,00 05 06.13,+61 18 50.3,5.8,1.27555231,61.31396468,4.5,14.29,2.24,0.56,-0.067,,1.27562467,61.31397012,347.6541053567101,7.740894266693146,635.5284845473074,5.800000190734863
443,00 05 20.15,-05 42 28.2,4.61,1.33394073,-5.70783255,25.38,-8.29,88.19,1.05,1.029,,1.33392048,-5.7076182,128.0526401412591,2.981855877089784,-9.613325882909404,4.610000133514403
476,00 05 41.94,+13 23 46.6,5.55,1.42473238,13.39628227,8.75,42.59,-6.51,0.8,0.901,,1.42483879,13.39626645,362.32205791442965,9.011567402832899,86.31910211159502,5.550000190734863
518,00 06 15.54,+58 26 12.1,5.98,1.56474395,58.43668966,49.3,247.36,17.77,1.05,0.687,,1.56589255,58.43673285,34.599982811221025,0.9451618872383154,56.34327125067254,5.980000019073486
522,00 06 18.66,-49 04 30.3,5.7,1.5777634,-49.07509405,39.0,575.21,-39.94,0.64,0.519,,1.57989765,-49.07519111,54.90160796482299,1.5122041055885551,-63.01406124841507,5.699999809265137
531,00 06 26.53,+64 11 46.2,5.57,1.61052855,64.19616859,3.32,9.7,0.01,0.54,-0.023,,1.61058271,64.19616861,427.25578189315866,12.01300576113175,884.0193734462573,5.570000171661377
636,00 07 46.86,-22 30 30.5,5.93,1.94523194,-22.50847542,12.45,70.1,-34.71,0.74,0.141,,1.94541637,-22.50855978,243.5011970794495,8.270291235803656,-95.93136516814138,5.929999828338623
655,00 08 03.52,-33 31 45.6,5.67,2.01465535,-33.52933371,10.02,-42.75,3.15,0.71,1.119,,2.0145307,-33.52932605,274.31659475435566,9.649652840999503,-174.66954024775237,5.670000076293944
671,00 08 17.55,-08 49 26.5,5.99,2.07313617,-8.82402541,9.79,-34.13,-35.67,0.92,1.034,,2.07305222,-8.82411211,330.16833017318834,11.951649646659858,-41.596523106865696,5.989999771118163
677,00 08 23.17,+29 05 27.0,2.07,2.09653333,29.09082805,33.6,135.68,-162.95,0.73,-0.038,P,2.09691071,29.09043199,84.72750746902918,3.1016957022921177,47.17254955343322,2.069999933242798
729,00 09 02.34,+18 12 43.3,5.57,2.2597423,18.21202529,11.17,140.93,-25.57,0.72,1.043,,2.2601029,18.21196314,277.0176256228891,10.931265219549205,91.214137999568,5.570000171661377
746,00 09 10.09,+59 09 00.8,2.28,2.29204036,59.15021814,59.89,523.39,-180.42,0.56,0.38,P,2.29452113,59.1497796,27.890373824543317,1.1163129529965155,46.73164144646201,2.2799999713897705
761,00 09 21.02,-27 59 16.5,5.42,2.3375862,-27.9879039,14.57,72.57,-9.99,1.34,0.414,,2.33778595,-27.98792818,200.91483948597573,8.201580312614928,-98.12682707180011,5.420000076293945
765,00 09 24.54,-45 44 49.2,3.88,2.35224949,-45.74698836,23.28,122.15,-180.13,0.98,1.013,,2.35267495,-45.74742618,100.21725177631565,4.116683009672146,-97.71989247156995,3.880000114440918
